# LEMpy all scores file for replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Ground truth edge list:   
# Computed on:  2021-11-18 12:24:17 
 
model	pld	loss	norm_loss
YCR065W=tf_rep(YIL131C)	0.964629	83.40332638615942	0.28903525942036706
YML027W=tf_rep(YIL131C)	0.942129	84.04185676084931	0.29152984587478464
YER111C=tf_rep(YDR451C)	0.738535	139.91756612541943	0.44807897974987637
YIL131C=tf_act(YCR065W)	0.731375	89.50212230924977	0.24420859812784854
YNL068C=tf_act(YCR065W)	0.661147	81.12004354060586	0.2588627877145022
YDR451C=tf_rep(YIL131C)	0.638826	164.82687706069473	0.5203956276535683
YDL056W=tf_act(YCR065W)	0.442945	65.67423850030028	0.45281208208537277
YNL068C=tf_act(YDR451C)	0.261121	107.84886269391622	0.3441573257392413
YOR083W=tf_act(YDR451C)	0.24127	311.77808351035185	0.9970528931477184
YDR451C=tf_act(YCR065W)	0.212641	198.97783062149404	0.6282178908072635
YIL131C=tf_act(YDR451C)	0.172797	136.3183541696127	0.37194776293496046
YDL056W=tf_act(YOR083W)	0.137992	104.10713775116861	0.7178000214625988
YOR083W=tf_act(YER111C)	0.126646	270.2509839530855	0.8642510159553756
YDL056W=tf_act(YDR451C)	0.118376	96.35458107320315	0.6643475352062359
YER111C=tf_rep(YIL131C)	0.0909323	200.77978542737617	0.6429871809523525
YDL056W=tf_act(YER111C)	0.0882847	112.67794172694434	0.7768941759140259
YOR083W=tf_rep(YIL131C)	0.0829342	308.1003991069161	0.9852918167011498
YIL131C=tf_act(YML027W)	0.0765175	136.20898747189648	0.3716493533862029
YER111C=tf_rep(YCR065W)	0.0697325	209.3753915730507	0.6705141780174186
YOR083W=tf_act(YDL056W)	0.0692089	312.69964277026145	0.9999999999999851
YOR083W=tf_rep(YDL056W)	0.0634983	299.56763609419204	0.9580044078089277
YDL056W=tf_act(YML027W)	0.0628784	90.1275633128686	0.6214133658633086
YOR083W=tf_act(YCR065W)	0.0612673	266.736088987774	0.8530105331259986
YER111C=tf_rep(YML027W)	0.0469286	194.0508355310849	0.6214380567943784
YOR083W=tf_rep(YNL068C)	0.0468557	290.56247545135807	0.9292062916260773
YOR083W=tf_act(YNL068C)	0.0452339	312.69964277026577	0.9999999999999989
YOR083W=tf_rep(YML027W)	0.0446178	312.69964277022024	0.9999999999998533
YOR083W=tf_rep(YER111C)	0.0426739	312.6996427702596	0.9999999999999791
YNL068C=tf_act(YML027W)	0.0424769	127.13281536152861	0.4056944937166461
YOR083W=tf_act(YML027W)	0.0407356	251.05679946309778	0.8028688400118958
YML027W=tf_rep(YDR451C)	0.0359743	179.68862198007508	0.623315551206467
YOR083W=tf_act(YOR083W)	0.0333637	304.518145570583	0.9738359240605404
YDL056W=tf_act(YIL131C)	0.0322913	131.7245103654039	0.9082168467010407
YDR451C=tf_act(YER111C)	0.0318979	251.95548555823072	0.7954802965753793
YOR083W=tf_rep(YDR451C)	0.0303133	312.6996427702572	0.9999999999999715
YOR083W=tf_rep(YOR083W)	0.0294923	312.69964277026565	0.9999999999999986
YDR451C=tf_act(YML027W)	0.0281546	201.79366187193824	0.6371081051768646
YDL056W=tf_act(YNL068C)	0.0238586	139.86739657393278	0.9643605849836152
YDR451C=tf_act(YOR083W)	0.0227299	316.0366452371211	0.9977989712147405
YOR083W=tf_rep(YCR065W)	0.0216819	312.69964277026565	0.9999999999999986
YOR083W=tf_act(YIL131C)	0.0202075	312.69964277019994	0.9999999999997884
YNL068C=tf_act(YOR083W)	0.0184204	163.0594628178605	0.5203402915721035
YDR451C=tf_act(YDR451C)	0.0165368	308.86151720003727	0.9751454736484546
YDL056W=tf_rep(YDL056W)	0.0154261	145.03640935958097	0.99999999999997
YNL068C=tf_act(YER111C)	0.0148086	180.9349855132432	0.5773830079565486
YDL056W=tf_act(YDL056W)	0.0121541	140.753465092135	0.9704698683153985
YCR065W=tf_rep(YDR451C)	0.0117272	191.1952135419214	0.6625893779122981
YDL056W=tf_rep(YNL068C)	0.0112431	145.03640935960036	1.0000000000001037
YDL056W=tf_rep(YCR065W)	0.0107213	145.03640935960854	1.00000000000016
YDL056W=tf_rep(YER111C)	0.0107137	145.03640935960854	1.00000000000016
YER111C=tf_act(YER111C)	0.0106691	310.3505192965033	0.9938819542256003
YDL056W=tf_rep(YOR083W)	0.0103382	145.03640935960854	1.00000000000016
YCR065W=tf_act(YER111C)	0.0102908	163.8220079943014	0.5677271954378073
YDR451C=tf_rep(YDR451C)	0.0101691	316.63586480046524	0.999690842530448
YER111C=tf_rep(YOR083W)	0.0101287	264.1996194396498	0.8460860148375383
YDL056W=tf_rep(YIL131C)	0.0100033	145.0364093595222	0.9999999999995648
YDL056W=tf_rep(YDR451C)	0.00958584	145.03640935960848	1.0000000000001597
YIL131C=tf_act(YER111C)	0.0090048	207.83420863164764	0.5670804157869684
YIL131C=tf_act(YOR083W)	0.0084012	224.5190339529964	0.6126053452144076
YDR451C=tf_rep(YNL068C)	0.00672357	298.7848293557334	0.9433310973227136
YDR451C=tf_rep(YDL056W)	0.00559706	312.35760015589284	0.9861833960831038
YER111C=tf_act(YML027W)	0.00511414	312.26094605804406	1.0000000000000009
YDR451C=tf_rep(YOR083W)	0.00510085	316.7337854160831	0.9999999999999905
YDR451C=tf_act(YNL068C)	0.00500875	316.73378541608866	1.000000000000008
YER111C=tf_act(YCR065W)	0.00470923	312.2609460580443	1.0000000000000016
YER111C=tf_act(YDR451C)	0.00469813	312.26094605804406	1.0000000000000009
YDR451C=tf_act(YIL131C)	0.004566	316.733785416026	0.9999999999998103
YDR451C=tf_rep(YML027W)	0.00432129	316.73378541608866	1.000000000000008
YML027W=tf_rep(YER111C)	0.00362741	288.2786989988271	0.9999998563485116
YER111C=tf_act(YIL131C)	0.00354334	312.2609460580443	1.0000000000000016
YER111C=tf_rep(YER111C)	0.0033267	312.26094605804434	1.0000000000000018
YER111C=tf_act(YDL056W)	0.00323604	312.2609460580444	1.000000000000002
YER111C=tf_rep(YNL068C)	0.00319107	310.1662732220472	0.9932919154238161
YDL056W=tf_rep(YML027W)	0.00318777	145.0364093596085	1.0000000000001599
YML027W=tf_act(YER111C)	0.00310802	228.01453945828067	0.7909516294319769
YML027W=tf_rep(YML027W)	0.00309034	207.2018503973125	0.7187552231644466
YDR451C=tf_act(YDL056W)	0.00303351	316.73378541605774	0.9999999999999104
YDR451C=tf_rep(YER111C)	0.0023532	316.73378541602654	0.9999999999998119
YDR451C=tf_rep(YCR065W)	0.00234047	316.73378541608866	1.000000000000008
YER111C=tf_act(YOR083W)	0.00206001	312.2609460580441	1.000000000000001
YML027W=tf_act(YDR451C)	0.00180983	288.27874041067224	1.000000000000607
