# LEMpy target file for YCR065W, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:18 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_rep(YIL131C)	83.40332638615942	0.964629	1.0	0.0625	0.0	0.05641657119742235	13.6181204116689	23.116349782984837	4.356763356280201	[1, 1.5995258835670014, 3.6976758154133242, 53.91378653788868, 4201073.6674471]	1339615725.3645809	1.0	6.86999999999216e-05	0.45143619999999984
tf_rep(YDR451C)	191.1952135419214	0.0117272	1.0	0.0625	0.0	0.03652357183693279	22.25987425156984	17.73942747353408	2.5532450190362406	[1, 1, 1.9674997568599313, 91.60729069093678, 4203574.243376539]	757640965.1312028	1.0	3.190000000019566e-05	0.36189540000000076
tf_act(YER111C)	163.8220079943014	0.0102908	1.0	0.0625	0.3	0.11505995285737718	31.666797448455494	100.0	1.7111448397353435	[1, 1, 1, 455.25876850401306, 4222594.7222795]	1922373273.1565104	2.0	3.179999999991523e-05	0.3523253999999998
tf_act(YOR083W)	288.55761942396106	0.001554	1.0	0.0625	0.16073256023659052	0.005904534091677961	0.0	89.69793922664573	4.371055705634958	[1, 1, 1.6166491012163184, 11.444180480434493, 4200634.517892755]	77716880.52669899	1.0	3.170000000007889e-05	0.3566262
tf_rep(YCR065W)	288.48907691006104	0.00149048	1.0	0.0625	0.0	0.005386542243117885	0.21643609231615285	67.95995922493205	1.4487683310999562	[1, 1, 1, 20.19003794657104, 4201267.500758457]	84823750.26400891	1.0	4.0400000000051506e-05	0.30408860000000004
tf_act(YIL131C)	288.5576194249626	0.00137393	1.0	0.0625	0.16073266107135306	0.005904560997873404	0.0	91.30860620869585	3.80484891895976	[1, 1, 1.9489692730469224, 12.144301904940042, 4200605.987447749]	99423602.31128317	1.0	0.0001773000000002689	0.3758315000000003
tf_rep(YER111C)	288.5576194188469	0.00132088	1.0	0.0625	0.1607620705922331	0.0059051129072732935	0.0	69.58641625345288	2.608450429315777	[1, 1, 1.0024821513869138, 25.537966378651355, 4201725.383290997]	107569865.15569918	1.0	3.239999999982146e-05	0.3390627000000004
tf_act(YDL056W)	288.5576194222627	0.00131122	1.0	0.0625	0.1607376432338105	0.005904644582603257	0.0	89.83885102536273	4.734177030234648	[1, 1, 2.2545540185355244, 11.52635259175927, 4200656.434519835]	109161553.7526358	1.0	3.299999999972769e-05	0.3584866
tf_act(YNL068C)	288.5576194255642	0.00122644	1.0	0.0625	0.16072869824235972	0.005904465321656367	0.0	90.29131024329074	4.709811534209177	[1, 1, 2.348319893570767, 12.64896128576632, 4200618.29250828]	124774356.8071558	1.0	4.759999999981446e-05	0.32645180000000007
tf_rep(YML027W)	288.5576194219246	0.00105126	1.0	0.0625	0.16074371465837103	0.005904736612984007	0.0	69.27335367260747	2.031721434288787	[1, 1, 1.3129565590852021, 30.781865904540457, 4202001.365209662]	169824947.1898137	1.0	3.190000000019566e-05	0.28500760000000014
tf_rep(YOR083W)	265.8737109512305	0.000962172	1.0	0.0625	0.0	0.023934002622767025	2.094704397167282	54.64525180822708	10.0	[1, 1, 2.4552211461604294, 19.19641909902991, 4201031.20169864]	198000709.2660138	2.0	3.170000000007889e-05	0.3207789999999999
tf_rep(YNL068C)	248.30957396361384	0.000905587	1.0	0.0625	0.0	0.016072822282443364	1.6701369472516476	43.51401419965938	10.0	[1, 1, 4.4475191363704445, 35.78176373764701, 4200869.111498519]	668526642.0888349	2.0	4.209999999993386e-05	0.3211057000000004
tf_rep(YDL056W)	261.0385429080681	0.000795511	1.0	0.0625	0.0	0.01827850596934683	1.4152528608944217	64.41206567641159	10.0	[1, 1, 2.563217251205739, 36.23296891922564, 4201108.881729462]	390169463.32457274	2.0	3.229999999998512e-05	0.36584540000000043
tf_act(YCR065W)	282.25853168674666	0.000585198	1.0	0.0625	0.3	0.010470712231600898	4.198126650285767	100.0	10.0	[1, 1, 1, 11.839026644654865, 4200595.790396293]	49730965.48592677	3.0	3.690000000000637e-05	0.3030538000000007
tf_act(YDR451C)	288.5576194204782	0.00053459	1.0	0.0625	0.16074402503939933	0.005904764298462953	0.0	96.34400217924858	1.0	[1, 1, 3.2795443172535856, 11.917117631605223, 4200810.226276863]	164179070.5514421	2.0	3.189999999975157e-05	0.2900533000000003
tf_act(YML027W)	236.65642192791333	0.00024178	1.0	0.0625	0.3	0.25981608443695803	43.48072069716721	49.69232426306969	1.0	[1, 1, 1, 4616.374203363534, 4294000.954227192]	19822715234.312813	2.0	3.2699999999774576e-05	0.27209329999999987
null_model	288.5576194178417				0.1607686846114729	0.005905267857316993								
