# LEMpy target file for YER111C, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:19 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_rep(YDR451C)	139.91756612541943	0.738535	1.0	0.0625	0.0	0.0817810092783317	20.65748585357627	31.38055258371361	4.22010081703148	[1, 1.6225577740538089, 3.0743106336536536, 52.17186249719206, 2582167.208164189]	671998988.5483242	1.0	3.4300000000264674e-05	0.3704602999999995
tf_rep(YIL131C)	200.77978542737617	0.0909323	1.0	0.0625	0.3	0.07069674866998592	11.377569938345044	24.047762680865972	4.853698611441275	[1, 1.4406051992300464, 3.4474560769576192, 32.02062472086179, 2581256.108389057]	410491923.7315826	1.0	4.399999999993298e-05	0.4048518000000012
tf_rep(YCR065W)	209.3753915730507	0.0697325	1.0	0.0625	0.0	0.04321204203227818	45.37263543983087	19.948813518055353	4.898361139147591	[1, 1, 3.5723314515870794, 41.51990232593937, 2582090.895756849]	382983088.223972	1.0	5.81999999997862e-05	0.34431429999999885
tf_rep(YML027W)	194.0508355310849	0.0469286	1.0	0.0625	0.0	0.04871299845712199	16.162435002201153	6.157446117455522	2.294391036972383	[1, 1, 7.21655149468426, 133.4649027220279, 2583251.2347565265]	2488074812.9035397	1.0	3.239999999982146e-05	0.36959980000000137
tf_act(YER111C)	310.3505192965033	0.0106691	1.0	0.0625	0.3	0.015539840141875377	2.6911152178345334	89.55518302645434	3.648082347352113	[1, 1, 1, 11.711105139214038, 2580959.6475570286]	30225889.79260917	1.0	3.3300000000124896e-05	0.3450363999999997
tf_rep(YOR083W)	264.1996194396498	0.0101287	1.0	0.0625	0.0	0.053497813584287936	4.342857251816859	51.89089910183333	10.0	[1, 1, 3.937638189049837, 12.586007441915788, 2581302.8004578627]	127927156.03636834	2.0	5.380000000032581e-05	0.3246979999999997
tf_act(YML027W)	312.26094605804406	0.00511414	1.0	0.0625	0.0	0.0028167956507230947	0.0	89.50371705332269	4.066511625463038	[1, 1, 1, 11.434832352029165, 2580940.0165037354]	29512616.3993636	2.0	3.289999999989135e-05	0.28801319999999997
tf_act(YCR065W)	312.2609460580443	0.00470923	1.0	0.0625	0.0	0.0028167956227811938	0.0	89.36628801708316	3.636039419421902	[1, 1, 1.1585730186107044, 11.639838012282272, 2580967.3075847137]	34805898.56138859	2.0	3.790000000014615e-05	0.36689730000000154
tf_act(YDR451C)	312.26094605804406	0.00469813	1.0	0.0625	0.0	0.0028167956320123426	0.0	99.91163078594627	7.184322142705373	[1, 1, 1.210081958670443, 11.197211894031152, 2580942.3149878876]	34970591.717458	2.0	3.96000000000285e-05	0.2981456999999992
tf_act(YIL131C)	312.2609460580443	0.00354334	1.0	0.0625	0.0	0.002816795623449966	0.0	97.21218718036504	3.8845757862066037	[1, 1, 2.1398154660367115, 11.131980565876999, 2580946.5726928813]	61479138.916009046	2.0	0.00010650000000023141	0.3713133000000006
tf_rep(YER111C)	312.26094605804434	0.0033267	1.0	0.0625	0.0	0.0028167956259460467	0.0	68.73385260640879	2.5983169063505245	[1, 1, 1, 27.012133197240676, 2582054.808667095]	69746808.41429135	2.0	3.2700000000218665e-05	0.31310339999999925
tf_act(YDL056W)	312.2609460580444	0.00323604	1.0	0.0625	0.0	0.0028167956182552694	0.0	89.44509380919021	4.341957832996817	[1, 1, 2.583333163421593, 11.054903319753098, 2581012.2003103555]	73709832.70089878	2.0	4.6400000000001995e-05	0.3394674999999996
tf_rep(YNL068C)	310.1662732220472	0.00319107	1.0	0.0625	0.0	0.010370241459083818	0.39555253158993264	65.96614209350331	5.332178533586727	[1, 1, 3.9165918407096134, 33.764754146674825, 2581880.0272625526]	341434942.3288291	1.0	5.750000000004363e-05	0.335716399999999
tf_act(YOR083W)	312.2609460580441	0.00206001	1.0	0.0625	0.0	0.0028167956305162325	0.0	100.0	6.462649037466979	[1, 1, 1.5911006064258393, 11.073365461674097, 2580946.1261673924]	45473272.97735616	3.0	3.2200000000148776e-05	0.2900349999999996
tf_act(YNL068C)	312.2609460580442	0.00162069	1.0	0.0625	0.0	0.0028167956219606197	0.0	100.0	4.738352701027082	[1, 1, 2.5493311979200106, 11.165742931021938, 2580950.82929939]	73467221.673299	3.0	3.570000000019391e-05	0.30442639999999876
tf_rep(YDL056W)	309.5439639179971	0.00157466	1.0	0.0625	0.0	0.009919086126668253	0.46536987452371714	66.32873120541645	10.0	[1, 1, 4.438485214810687, 31.694728872245886, 2581540.301228376]	363162274.87362283	2.0	3.449999999993736e-05	0.3565528000000011
null_model	312.26094605804377				0.0	0.0028167956666559964								
