# LEMpy target file for Ophio5|6920, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111115822_lempy/lempy_20251111115822_config.txt 
# Time series data file:   ../tmp/tmp_20251111115822.tsv 
# Computed on:  2025-11-11 12:00:22 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|392)	482.01021720662567	0.895365	1.0	0.05	0.3	0.7389947202304727	87.66136401848239	62.69323026815953	2.9168400594991386	[1, 1.1116839509006173, 81.28146793572256, 1450.910084124321, 2373100.818167792]	311121169353.1688	1.0	4.645600000063865e-05	2.0444331300000007
tf_act(Ophio5|1479)	716.9073912786133	0.0406819	1.0	0.05	0.0	0.03223814883996823	16.090547200093706	100.0	10.0	[1, 1, 2.6731681100292213, 96.57956819689761, 2372213.8095024927]	612442556.4033209	3.0	7.795199999982572e-05	1.5818738799999998
tf_act(Ophio5|8321)	715.3043391745022	0.0277561	1.0	0.05	0.3	0.11727088959693775	11.465337838206194	68.8207451989549	10.0	[1, 3.7968182440948954, 6.488786346660162, 95.59890704069294, 2372417.734726317]	5587626537.505366	2.0	4.9370000000159564e-05	2.2528477470000006
tf_act(Ophio5|2137)	734.3146193173516	0.0194799	1.0	0.05	0.0	0.03133957426058932	14.884521485968172	100.0	10.0	[1, 1.704429353094543, 3.564986459074699, 97.10684599521946, 2372215.0119548584]	1399718774.80231	3.0	4.526800000004272e-05	1.6674844790000005
tf_act(Ophio5|6920)	790.9589640159355	0.00650846	1.0	0.05	0.3	0.27212214149424385	28.50512517726967	52.81752626284863	4.636564678017379	[1, 3.337595911339024, 34.13658148284428, 95.39975699198865, 2372576.055338588]	25788209750.9775	1.0	5.204899999977641e-05	2.121948602
tf_act(Ophio5|1654)	878.9833579871301	0.0022055	1.0	0.05	0.0	0.029768061069743355	11.539181539650317	100.0	10.0	[1, 1, 2.903712561212086, 96.76088708831068, 2372218.0708184633]	666512155.8046991	3.0	4.4756999999506775e-05	1.7538880569999993
tf_act(Ophio5|8604)	917.4986010525607	0.00210294	1.0	0.05	0.25064084525156	0.04972820985611807	5.629534276735699	71.50815982301494	10.0	[1, 1.6694436936763482, 8.56924805960456, 95.5999384871312, 2372314.2915632986]	3244474228.077984	1.0	4.751100000000008e-05	2.57010647
tf_rep(Ophio5|2137)	803.0221841415158	0.00158303	1.0	0.05	0.3	0.18203932183747185	18.507143778005375	10.492555624314473	10.0	[1, 1.8653710553913196, 85.41160218379649, 187.6754176619011, 2377230.711820781]	71082194240.36218	2.0	4.3889999999713325e-05	2.2935128800000015
tf_act(Ophio5|491)	906.1300204144931	0.00146699	1.0	0.05	0.0	0.027851871053202235	10.308825070438802	100.0	10.0	[1, 1, 2.645826702293831, 96.74265995074576, 2372218.0337344734]	607203159.1691592	3.0	4.293399999966141e-05	1.6778018280000015
tf_rep(Ophio5|491)	1052.2660071660546	0.000465506	1.0	0.05	0.0	0.004851054594063439	0.0	0.16665994671703302	3.7103649592820025	[1, 1, 1, 94.98407180720166, 2372202.433005284]	225321446.23779237	2.0	4.42219999996496e-05	1.235030608999999
