# LEMpy local minima file for target Ophio5|512, replicate 0
# Right-hand side of tf_act():  p0 - p1(tar) + p2(reg^p4) / (p3^p4 + reg^p4)
# Right-hand side of tf_rep():  p0 - p1(tar) + p2(p3^p4) / (p3^p4 + reg^p4)
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111120751_lempy/lempy_20251111120751_config.txt
# Time series data file:   ../tmp/tmp_20251111120751.tsv
# Computed on:  2025-11-11 12:12:28 
 
model	loss	p0	p1	p2	p3	p4
Ophio5|512=tf_rep(Ophio5|84)	633.8973708657278	0.28112878636320404	0.0169266373939848	81.23798955586608	0.001	7.18841465655444
Ophio5|512=tf_rep(Ophio5|84)	633.8974444693046	0.2832784764527117	0.016981402310588367	81.36159578619885	0.23454506285001878	7.232848012507415
Ophio5|512=tf_rep(Ophio5|84)	633.897369763778	0.28114532933961883	0.01692705816317164	80.87524380367032	0.4747437534780303	7.242085812676565
Ophio5|512=tf_rep(Ophio5|84)	633.8974720181435	0.2836437188376659	0.016990711615419006	80.4208729664112	0.06713650315168274	7.2617132296713205
Ophio5|512=tf_rep(Ophio5|84)	633.8975135092977	0.2841121008754918	0.017002550494725387	80.7757783136692	0.3902679754811988	7.254217730465065
Ophio5|512=tf_rep(Ophio5|84)	633.8973707460823	0.28114577477486064	0.01692706933914928	80.92280734305906	0.35090310692691634	7.280045523606439
Ophio5|512=tf_rep(Ophio5|84)	633.8974220254847	0.2832168659276632	0.016979854162928153	81.27954555362375	0.711951377473042	7.291213395910839
Ophio5|512=tf_rep(Ophio5|84)	633.897574706962	0.2848557845219441	0.01702163644116754	80.86429266880877	0.7227918414226777	7.295926521579483
Ophio5|512=tf_rep(Ophio5|84)	598.6348612840242	0.0	0.018214595920622835	80.56674602202519	6.346512118127281	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6347903687694	0.0	0.01821457614649839	80.67518175724717	6.345628393980983	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6597066369726	0.0	0.018209619098170284	80.2106280698901	6.3398786103274	9.95750364479999
Ophio5|512=tf_rep(Ophio5|84)	598.6351704342309	0.0	0.018214578981564165	80.09753198123417	6.350347733669742	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6352506732077	0.0	0.01821461529182529	79.97667383858477	6.351343872898633	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6351236021907	0.0	0.018214531716481627	80.16824922044698	6.349764845041346	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6349751349505	0.0	0.01821457528540477	80.39328876535544	6.347926316805713	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6489995234577	0.0	0.01821375203219029	80.04156733040737	6.345601402736512	9.97609387087949
Ophio5|512=tf_rep(Ophio5|84)	598.6351728542814	0.0	0.018214548675387715	80.09388136018609	6.350376159439659	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6352307540413	0.0	0.018214557822077853	80.00664241428727	6.35109543550962	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6357907945483	0.0	0.01821448608952013	79.17281660822152	6.357979729188259	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6358915432133	0.0	0.01821445026629373	79.02471914324316	6.359209801824721	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6361472000289	0.0	0.01821440668674445	78.65147113071313	6.362325244330061	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.636551777625	0.0	0.018214435544919805	78.06820479440997	6.36723522526066	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6371485139781	0.0	0.0182143810934944	77.2240593468017	6.374407862300964	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6367848182591	0.0	0.01821429804960685	77.73627503671239	6.3700354064740345	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6578272771284	0.0	0.018213124120762755	77.66161321508027	6.362827826489941	9.96374069899357
Ophio5|512=tf_rep(Ophio5|84)	598.6373486998135	0.0	0.018214272637301833	76.94508118502345	6.3767907264632955	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6374301308783	0.0	0.018214468375720307	76.83222839910097	6.377771467362293	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.637812398151	0.0	0.01821417069135129	76.3068373013001	6.382291360128002	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6376963826818	0.0	0.018214180980670968	76.46549275235479	6.380918195402406	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6372997964046	0.0	0.018214234520501645	77.01303771662494	6.376205525058633	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6369329529535	0.0	0.01821427030857194	77.52679928907597	6.371813246939826	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6376874028036	0.0	0.018214280580724284	76.47780653763826	6.380818603876558	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6372057213333	0.0	0.01821429490771645	77.14411548057757	6.375084298451699	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6368215274658	0.0	0.018214314968072867	77.68425608061595	6.370480515423495	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6374446875046	0.0	0.01821429683091321	76.81206017236067	6.377937158140687	10.0
Ophio5|512=tf_rep(Ophio5|84)	598.6372299334333	0.0	0.01821422800832049	77.1103357524242	6.375369810120755	10.0
