# LEMpy target file for Ophio5|512, replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111120751_lempy/lempy_20251111120751_config.txt 
# Time series data file:   ../tmp/tmp_20251111120751.tsv 
# Computed on:  2025-11-11 12:15:20 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(Ophio5|512)	436.1161353328849	0.225412	1.0	0.03333333333333333	0.0	0.1655073503813412	12.540613850326398	36.46322506785004	10.0	[1, 1.2282353781316167, 7.3362181560099815, 35.5790753229141, 2981280.150514249]	955765358.2962244	2.0	3.444700001864476e-05	2.3106275650000043
tf_act(Ophio5|5850)	458.91405348652415	0.162225	1.0	0.03333333333333333	0.0	0.0967800177403649	7.291819294894	55.74794610566845	10.0	[1, 1, 6.215503316713883, 33.89414826084101, 2981234.8558053765]	628054335.0521361	2.0	4.1767999988451265e-05	2.3827927810000347
tf_act(Ophio5|3300)	448.7260973016648	0.139074	1.0	0.03333333333333333	0.0	0.14939470895938892	11.147460281363077	42.38441061786658	10.0	[1, 2.0605556977283954, 6.510600943709863, 34.46938959221998, 2981276.931903753]	1378609755.4812126	2.0	3.256099998338868e-05	2.3286328579999918
tf_act(Ophio5|392)	497.9279022560316	0.0951719	1.0	0.03333333333333333	0.023244927236629298	0.048771257316522126	4.667893730361023	57.97016969162817	10.0	[1, 1, 12.504062644389611, 32.890247074244584, 2980991.189302392]	1225967533.428546	1.0	3.2226999991280536e-05	2.6945005180000408
tf_act(Ophio5|84)	522.955563810568	0.0629656	1.0	0.03333333333333333	0.0	0.08020601515384651	5.237203582792963	63.9888962907681	5.949313850543681	[1, 1, 8.925056381156374, 34.76437510226312, 2981343.0693964576]	925033262.8976852	1.0	4.312200002232203e-05	2.230429927999978
tf_act(Ophio5|3760)	519.8003892381206	0.0547116	1.0	0.03333333333333333	0.0	0.0696053075900984	3.719299756740334	16.25343451691381	7.153892586288147	[1, 1, 12.736076600983067, 37.045684390548445, 2981560.536604161]	1406749976.1093652	1.0	4.250100002423096e-05	2.204994463999981
tf_act(Ophio5|8321)	496.0969246967184	0.0408897	1.0	0.03333333333333333	0.0	0.03582254400203509	3.602947568569025	71.1398854912009	10.0	[1, 1, 15.707199411884007, 38.49668271504907, 2980944.6658189576]	1802502930.7340755	2.0	3.073100000960949e-05	2.163072513999964
tf_act(Ophio5|6920)	522.4193873415367	0.02846	1.0	0.03333333333333333	0.0	0.04163806164880051	4.321259466324634	60.238279292609555	10.0	[1, 1, 11.602837222264627, 33.50438479475112, 2980951.0072377906]	1158832550.7431734	2.0	4.045400001473354e-05	2.11959058299999
tf_rep(Ophio5|1479)	520.5767547020521	0.0269303	1.0	0.03333333333333333	0.0	0.07000521796335647	3.7176850351714434	21.33098346487418	10.0	[1, 1, 12.619768001950735, 37.286513846873625, 2981572.9384286827]	1402970661.6618078	2.0	4.694599999766069e-05	1.1352799549999872
tf_rep(Ophio5|6920)	633.897370852051	0.019267	1.0	0.03333333333333333	0.2811563905150095	0.016927345319759757	2.7369775858537633	0.001	9.894003977391149	[1, 1, 1, 32.715315724390955, 2980787.0458703293]	97517389.31282245	1.0	3.0313999985764895e-05	1.1709033049999675
tf_rep(Ophio5|392)	633.8973708520322	0.019267	1.0	0.03333333333333333	0.28115697558430164	0.016927360727601124	90.82659702674356	0.001	9.605580912216501	[1, 1, 1, 32.71531572367644, 2980787.0458703293]	97517389.31069262	1.0	2.8390000011313532e-05	0.9834269220000351
tf_act(Ophio5|8604)	538.6410805535464	0.0176832	1.0	0.03333333333333333	0.0	0.02635665249223085	3.165513100767636	73.41551978756297	10.0	[1, 1, 12.586106244098596, 39.56078877502149, 2980870.2440165547]	1484223854.7284954	2.0	3.4517000017331156e-05	2.052579363999996
tf_rep(Ophio5|491)	550.7399983005315	0.0107608	1.0	0.03333333333333333	0.0	0.04710207513625238	2.514917801777898	32.32811461654049	10.0	[1, 1, 20.38418672584365, 39.27034133058592, 2981444.949812398]	2386628705.613888	2.0	3.246299999659641e-05	2.3266170370000054
tf_rep(Ophio5|2237)	528.2452911018877	0.0102951	1.0	0.03333333333333333	0.0	0.038919047169981486	3.471665081829954	18.62183900294122	10.0	[1, 3.273690228473965, 19.13357563011758, 36.782244660078824, 2981020.8806058792]	6868105637.02026	2.0	3.720000000839718e-05	2.363321601999985
tf_rep(Ophio5|2137)	506.29143414450124	0.00981687	1.0	0.03333333333333333	0.0	0.04300297994365525	4.587465263067598	10.20516286551973	10.0	[1, 5.119087651676968, 30.739192721602144, 42.27737318792421, 2981254.51572928]	19833167210.597443	2.0	3.2320000002528104e-05	2.286906009000006
