# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:23:42 
 
model	pld	loss	norm_loss
Ophio5|8604=tf_act(Ophio5|8321)	0.991878	326.99078266158796	0.30270865439945677
Ophio5|84=tf_act(Ophio5|5850)	0.969922	294.52694732186023	0.41427100951923473
Ophio5|6920=tf_act(Ophio5|392)	0.813131	482.01021720596617	0.45806879051820054
Ophio5|1654=tf_rep(Ophio5|392)	0.766587	447.8337788275342	0.5115539924511487
Ophio5|2137=tf_act(Ophio5|4218)	0.611559	334.73095665986574	0.40881766433332845
Ophio5|1479=tf_rep(Ophio5|392)	0.5964	309.0244981299531	0.4223954382770956
Ophio5|5850=tf_act(Ophio5|5850)	0.477768	497.72516847165247	0.6221897885900506
Ophio5|8584=tf_act(Ophio5|5850)	0.447541	372.12880605373886	0.5815704894989725
Ophio5|2237=tf_act(Ophio5|997)	0.407315	380.23586744544264	0.5510709063598475
Ophio5|392=tf_act(Ophio5|6835)	0.398644	556.9211588077725	0.6066111203438866
Ophio5|756=tf_act(Ophio5|4218)	0.29833	243.35623273628653	0.3829438238562812
Ophio5|8321=tf_rep(Ophio5|5850)	0.290097	542.6211090910919	0.512864720653612
Ophio5|3300=tf_rep(Ophio5|1654)	0.278966	494.1245171293064	0.5372517462865265
Ophio5|6835=tf_rep(Ophio5|3300)	0.270965	311.1216981843183	0.5547396430696391
Ophio5|756=tf_rep(Ophio5|392)	0.265229	243.29769962171864	0.3828517165185614
Ophio5|491=tf_act(Ophio5|4218)	0.230616	685.0001911650875	0.6976633200997144
Ophio5|2237=tf_act(Ophio5|3760)	0.226289	418.1273147230297	0.6059864889818428
Ophio5|6835=tf_rep(Ophio5|392)	0.224316	254.5933618609475	0.45394786513080354
Ophio5|392=tf_act(Ophio5|1479)	0.206336	558.8057185969418	0.6086638254835339
Ophio5|8321=tf_act(Ophio5|8321)	0.194232	536.7598153082015	0.5073248499256449
Ophio5|3760=tf_act(Ophio5|3760)	0.1898	571.9431397569678	0.6561528047220577
Ophio5|8321=tf_act(Ophio5|1479)	0.187849	546.2480606545038	0.5162927765645021
Ophio5|2237=tf_act(Ophio5|512)	0.185705	400.3299287715444	0.5801929685730185
Ophio5|512=tf_act(Ophio5|512)	0.18461	436.1161353329201	0.6879917087315466
Ophio5|3300=tf_act(Ophio5|3300)	0.175004	472.0146277210163	0.513212103882591
Ophio5|6835=tf_rep(Ophio5|8584)	0.174117	334.54012785613696	0.5964954299312156
Ophio5|3300=tf_act(Ophio5|512)	0.168684	481.1711110061014	0.5231677657941572
Ophio5|3300=tf_act(Ophio5|8584)	0.16726	478.2626596111811	0.5200054645183809
Ophio5|997=tf_act(Ophio5|6920)	0.166178	492.815867551438	0.8172303227063371
Ophio5|8321=tf_act(Ophio5|6835)	0.165441	547.2688647892223	0.5172576015936489
Ophio5|3760=tf_act(Ophio5|8584)	0.159872	540.1149731956643	0.619638439382814
Ophio5|3760=tf_act(Ophio5|84)	0.15855	575.7792243871223	0.660553692702455
Ophio5|4218=tf_act(Ophio5|997)	0.152956	482.4874100217201	0.8184452259637492
Ophio5|491=tf_rep(Ophio5|392)	0.151434	754.5334120152419	0.7684819539354737
Ophio5|2137=tf_rep(Ophio5|392)	0.150291	387.95158699698436	0.4738177288803224
Ophio5|6835=tf_rep(Ophio5|512)	0.145374	306.4207332104345	0.5463576766336298
Ophio5|512=tf_act(Ophio5|5850)	0.132861	458.9140534863919	0.7239563919780301
Ophio5|3760=tf_act(Ophio5|3300)	0.129427	554.5393839464979	0.6361866185858099
Ophio5|756=tf_act(Ophio5|2137)	0.12686	263.7866028022871	0.4150929245713277
Ophio5|8584=tf_act(Ophio5|512)	0.117278	393.85003150316317	0.6155168637426127
Ophio5|1479=tf_act(Ophio5|1654)	0.114876	403.29439618315706	0.5512498661476496
Ophio5|512=tf_act(Ophio5|3300)	0.1139	448.7260973013993	0.7078844588016882
Ophio5|512=tf_act(Ophio5|8584)	0.112956	470.4441784648857	0.7421456533769156
Ophio5|491=tf_act(Ophio5|3760)	0.112195	766.0762484447188	0.7802381748688719
Ophio5|3300=tf_act(Ophio5|3760)	0.102186	504.63390691973626	0.5486783964963089
Ophio5|2056=tf_act(Ophio5|997)	0.0900304	394.6649813348347	0.7764038897314818
Ophio5|4218=tf_act(Ophio5|4218)	0.086502	573.7281871000085	0.9732173026270267
Ophio5|3760=tf_rep(Ophio5|1654)	0.0848259	575.8086494634416	0.6605874501601705
Ophio5|491=tf_act(Ophio5|2237)	0.0823677	676.1910950610678	0.6886913762750643
Ophio5|756=tf_rep(Ophio5|8321)	0.0811432	316.6118813093637	0.4982184476792328
Ophio5|997=tf_act(Ophio5|5850)	0.0802083	500.0625416920732	0.8292473908172393
Ophio5|2237=tf_act(Ophio5|4218)	0.0802061	446.5216199466763	0.6471379869196279
Ophio5|1479=tf_rep(Ophio5|8321)	0.0802056	435.3294617545192	0.5950375452609109
Ophio5|512=tf_act(Ophio5|392)	0.0779447	497.9279022554753	0.7855023938436706
Ophio5|756=tf_rep(Ophio5|6920)	0.0733834	291.64899182636617	0.4589370031662424
Ophio5|8584=tf_act(Ophio5|8321)	0.0733274	426.0407757818282	0.6658252155899458
Ophio5|997=tf_act(Ophio5|392)	0.0716356	492.8401495537343	0.8172705892437585
Ophio5|5850=tf_rep(Ophio5|5850)	0.0677438	648.2366223862826	0.810339184328029
Ophio5|491=tf_act(Ophio5|512)	0.0663572	771.9966163296166	0.7862679885361707
Ophio5|756=tf_act(Ophio5|2237)	0.0657891	299.3844418510727	0.47110945824743333
