# LEMpy target file for YML027W, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:21 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_rep(YIL131C)	84.04185676084931	0.942129	1.0	0.0625	0.0	0.11253219758631984	16.098524741628687	21.339936411005432	5.048479794017487	[1, 3.11862718889018, 3.5655821576649283, 129.2615182325888, 833343.9548816851]	1197808665.5606806	1.0	9.749999999986159e-05	0.37688520000000025
tf_rep(YDR451C)	179.68862198007508	0.0359743	1.0	0.0625	0.0	0.06062438807342351	19.20114317097901	21.675599104117964	3.7672943576817697	[1, 1, 1.7547208563359964, 117.21548211998235, 833496.8845328022]	171434015.25233817	1.0	3.5299999999516274e-05	0.3690137
tf_rep(YER111C)	288.2786989988271	0.00362741	1.0	0.0625	0.07345412182536362	0.01311108511919632	1.1064593176449926	0.4036747598410795	2.647565045890956	[1, 1, 1, 63.684189156690216, 832918.4030759512]	53043733.13357722	0.0	3.140000000012577e-05	0.3339958999999997
tf_act(YER111C)	228.01453945828067	0.00310802	1.0	0.0625	0.3	0.131085858274239	27.476703583660917	100.0	2.7416471064409897	[1, 1, 1, 231.29772898508298, 836216.7483478395]	193415034.8321459	2.0	4.099999999951365e-05	0.3536841000000006
tf_rep(YML027W)	207.2018503973125	0.00309034	1.0	0.0625	0.3	0.03136681171258881	12.876230493587403	4.85738560682168	10.0	[1, 1, 14.851020431635185, 64.86294524759349, 832925.0653626503]	802340827.5248713	2.0	3.219999999970469e-05	0.3125771000000004
tf_act(YDR451C)	288.27874041067224	0.00180983	1.0	0.0625	0.07372703556171167	0.01312254636688687	0.0	89.20429975815229	5.260020577576512	[1, 1, 1, 63.95507490721016, 832938.2931700277]	53270630.9327729	1.0	4.510000000035319e-05	0.3002456000000002
tf_act(YOR083W)	288.27874041064393	0.00141063	1.0	0.0625	0.07372717634662464	0.01312255424867925	0.0	89.94151395743346	4.384836719792761	[1, 1, 1.6518428600005097, 63.730753264415725, 832957.373650733]	87688079.64356424	1.0	3.170000000007889e-05	0.32042829999999967
tf_act(YDL056W)	288.2787404105349	0.00137762	1.0	0.0625	0.07372817895264247	0.013122600302470607	0.0	94.5450253833756	4.553105582156561	[1, 1, 1.7295120912890813, 63.82002358863963, 832965.2943888914]	91940628.8329256	1.0	3.2700000000218665e-05	0.2920398999999989
tf_act(YIL131C)	288.2787404105581	0.00131257	1.0	0.0625	0.07372795868653838	0.0131225891237962	0.0	89.24314834837278	4.2786171028776465	[1, 1, 1.8987540177406268, 64.03872167841305, 832928.6050021722]	101278937.61719331	1.0	0.00015230000000077126	0.2914887000000004
tf_rep(YDL056W)	282.0480775801243	0.00126954	1.0	0.0625	0.0	0.02030319568311438	28.573472748636778	15.710303166363655	3.6942652456319185	[1, 1, 2.4597888270335355, 76.40926236808528, 833052.3116772976]	156572723.34286657	1.0	3.170000000007889e-05	0.3131902000000011
tf_act(YNL068C)	288.2787404105942	0.00103761	1.0	0.0625	0.07372754360924046	0.013122571627060084	0.0	89.23028133559038	4.276642977986138	[1, 1, 3.049934296284154, 63.795518424200864, 832949.281697225]	162068723.91078043	1.0	4.1000000000401826e-05	0.302373900000001
tf_rep(YCR065W)	255.86835876776982	0.000900389	1.0	0.0625	0.0	0.02798436679498124	100.0	10.150896580438816	4.114461162971344	[1, 1, 5.66330929924419, 81.41754559926062, 833262.8883590645]	384211470.92851794	2.0	3.300000000017178e-05	0.3742107000000008
tf_act(YCR065W)	288.27874041073676	0.000895512	1.0	0.0625	0.07372667806607296	0.013122529033381479	0.0	90.17280013560419	10.0	[1, 1, 1, 65.30690087974817, 832921.7199894988]	54395536.20794356	2.0	3.400000000031156e-05	0.31289310000000015
tf_act(YML027W)	266.89469564848105	0.00085916	1.0	0.0625	0.3	0.030087752895429448	15.101823557338312	100.0	10.0	[1, 1, 1, 64.03365424210719, 832918.759955313]	53334831.886743195	3.0	3.389999999914295e-05	0.28176559999999995
tf_rep(YOR083W)	272.61913633889355	0.000683497	1.0	0.0625	0.0	0.03359192898281458	1.4661305366217532	47.219598381113016	10.0	[1, 1, 3.8252827520286306, 74.64417198847863, 833138.2342932353]	237890178.75565648	2.0	4.9100000000024124e-05	0.3081541999999988
tf_rep(YNL068C)	266.4421354886679	0.000514668	1.0	0.0625	0.0	0.026066190593082586	1.3109712291900257	38.934478981119405	10.0	[1, 1, 9.130751417189162, 80.35705224806837, 833048.0079071628]	611224208.1976393	2.0	3.6500000000216914e-05	0.30946040000000075
null_model	288.2787404104972				0.07372906110424983	0.013122639656137936								
