# LEMpy target file for YNL068C, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:17 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(YCR065W)	81.12004354060586	0.661147	1.0	0.0625	0.0	0.07061315780881837	19.544278652256754	84.68798379655672	3.0041290186284244	[1, 1, 3.9311040292510704, 144.7910231985777, 4715115.058284613]	2683789619.549432	1.0	3.609999999998337e-05	0.37088160000000014
tf_act(YDR451C)	107.84886269391622	0.261121	1.0	0.0625	0.3	0.09282995817353525	15.075270837880481	65.93644970673503	5.1407850506365955	[1, 1, 3.2113716975001596, 72.17912010058463, 4713315.599078616]	1092518197.9273093	1.0	4.2000000000097515e-05	0.4377597000000004
tf_act(YML027W)	127.13281536152861	0.0424769	1.0	0.0625	0.0	0.052497316738197915	12.888135225228956	43.61828429414212	1.9567128663759152	[1, 1, 7.02239207517949, 210.15401546847087, 4715081.637693384]	6958441534.111643	1.0	3.310000000000812e-05	0.41734239999999945
tf_act(YOR083W)	163.0594628178605	0.0184204	1.0	0.0625	0.3	0.05084491883127971	8.943171695496066	69.5878920269091	10.0	[1, 1, 3.5502797921625726, 27.84757757871804, 4713048.608810322]	465963524.89796525	2.0	3.1899999999973616e-05	0.3513852000000002
tf_act(YER111C)	180.9349855132432	0.0148086	1.0	0.0625	0.3	0.015661407755811044	28.204485202529877	99.00740732825375	10.0	[1, 1, 1.5624918902464313, 25.04218772287473, 4712920.424102997]	184408164.72097456	2.0	3.280000000005501e-05	0.32656129999999983
tf_act(YNL068C)	282.0554606545994	0.000629497	1.0	0.0625	0.3	0.015678056962839332	5.4189591816557625	93.52350349918103	10.0	[1, 1, 1, 27.013100715989363, 4712925.253405469]	127310724.53717162	2.0	3.7800000000087763e-05	0.30460239999999983
tf_act(YIL131C)	249.83206010574716	0.000402776	1.0	0.0625	0.3	0.09420209882272106	26.040188562748106	100.0	1.7979804478160302	[1, 1, 1, 475.1579849943705, 4725277.921720164]	2245253535.82294	2.0	0.00010909999999997311	0.3952127999999999
tf_rep(YNL068C)	313.3708180183685	0.00022317	1.0	0.0625	1.0842021254770079e-19	0.0038077211447358024	0.0	68.36170642207668	2.631728419258666	[1, 1, 2.3657173626782484, 59.13341298997505, 4713697.492897008]	659413009.1535819	1.0	3.970000000008689e-05	0.3203874
tf_act(YDL056W)	256.8917876991707	0.000198249	1.0	0.0625	0.3	0.3096491932907497	69.09903111666108	100.0	2.8019003635940307	[1, 1, 1, 1251.924316180105, 4750785.160270996]	5947623463.0908575	2.0	8.450000000004287e-05	0.40562350000000036
tf_rep(YML027W)	313.37081801836064	0.000147781	1.0	0.0625	0.0	0.003807722103628618	0.0	68.93912475858993	2.6150440779485584	[1, 1, 1.4134400380745025, 56.418963960091844, 4714410.104607389]	375949797.30411893	2.0	3.269999999999662e-05	0.3295931000000003
tf_rep(YDL056W)	313.37081801837274	0.000140237	1.0	0.0625	0.0	0.003807720783559339	0.0	68.13169868567701	2.358976093936553	[1, 1, 2.1222263300084125, 41.73627896526928, 4713427.540493873]	417486330.33321	2.0	3.690000000000637e-05	0.2856502999999999
tf_rep(YER111C)	313.3708180184157	0.0000883621	1.0	0.0625	0.0	0.003807718374627946	0.0	68.97831594772072	1.996010844734221	[1, 1, 5.135519989914215, 43.43804929711023, 4713911.895532519]	1051565184.8036294	2.0	3.2900000000113394e-05	0.3264887000000001
tf_rep(YIL131C)	313.37081801835717	0.0000782638	1.0	0.0625	0.0	0.0038077230573338628	0.0	65.41466896303898	1.8298969312206466	[1, 1, 5.5602563282589506, 51.14245313110773, 4713784.164075648]	1340435934.5917578	2.0	4.5499999999920604e-05	0.39692190000000016
tf_rep(YDR451C)	313.3708180184135	0.0000425757	1.0	0.0625	0.0	0.003807718467193913	0.0	66.77926862416587	1.0	[1, 1, 6.867825004234102, 34.98055116106167, 4713455.225889492]	1132361916.0084813	3.0	3.389999999980908e-05	0.3064279000000001
tf_rep(YOR083W)	313.37081801840844	0.0000406025	1.0	0.0625	0.0	0.003807718702313127	0.0	67.58459435403837	1.0	[1, 1, 7.572973161952855, 34.88168431935024, 4713456.152414959]	1245097429.3186665	3.0	4.6400000000001995e-05	0.23522610000000022
tf_rep(YCR065W)	313.37081801840174	0.0000342829	1.0	0.0625	0.0	0.0038077190090473265	0.0	62.28497473774144	1.0	[1, 1, 10.086050932310762, 36.73600657417868, 4713469.966799281]	1746440705.4890306	3.0	3.379999999997274e-05	0.2394718
null_model	313.37081801835706				0.0	0.0038077230568490618								
