time_points	0	4	8	12	16	20	24	28	32	36	40	44
244911_at	3.90522	4.03033	4.33309	4.36738	3.66389	4.14681	3.18673	4.60143	3.96979	3.56627	4.03724	3.71497
244918_at	3.74469	3.35782	3.34762	3.47357	3.29869	3.42543	3.31017	3.56654	3.77285	3.92982	3.98048	3.55294
244944_s_at	76.4957	51.8524	77.1487	47.9214	75.7073	88.0858	73.0345	44.2672	66.4255	78.4759	36.6394	45.4758
244946_at	3.80868	4.343	3.59467	4.79296	4.69694	4.02363	4.32072	3.48027	3.59328	3.44019	3.61804	3.37663
245081_at	9.3327	7.46909	8.4845	8.02939	8.25177	7.53699	5.35807	9.57213	9.23774	6.28986	6.29704	5.34534
245214_at	3.98156	4.16854	3.73764	4.28387	3.86727	4.14075	4.00071	3.43029	4.32913	3.42543	3.98388	3.60876
245377_at	4.55058	3.7329	3.91552	3.97158	4.74695	4.65095	4.85511	4.66804	4.85023	4.11789	4.71785	3.58783
245485_at	4.63323	6.20348	5.03686	4.10817	7.78809	4.90397	4.85811	4.70893	5.15657	4.66619	3.98783	5.66679
245812_at	4.40843	4.30051	4.6456	4.52321	5.40909	3.96834	3.52529	5.14379	4.52943	4.67644	6.67115	4.16909
246032_s_at	7.63627	8.24871	9.10492	6.40813	8.0719	7.36738	6.32592	7.67012	8.43455	8.35296	9.59919	7.6017
246080_at	5.47235	5.21813	5.33214	5.31301	4.88411	4.53849	5.02968	4.85761	4.86961	4.55861	4.67846	4.92159
246100_at	3.74019	4.31799	4.8007	4.91349	4.58204	4.20502	3.94692	4.41802	5.34861	4.13256	5.04012	4.13134
246101_at	4.06293	3.34159	3.48774	4.18555	3.95646	3.61711	3.63074	3.76679	3.75225	4.38674	3.35694	3.87418
246127_s_at	3.64288	4.06349	3.9811	4.36203	4.25552	3.31233	3.42719	4.02765	4.21933	3.39743	3.52148	3.4576
246357_x_at	6.92219	6.04887	6.82209	7.28499	6.7218	6.70469	6.79668	7.61756	10.8339	6.88795	7.39433	5.51565
246358_x_at	6.64923	8.04342	6.6236	7.31938	8.40708	6.27575	7.68609	7.15674	5.95098	6.54626	10.8359	6.92324
246360_at	3.33605	3.01538	2.84492	3.27948	2.98302	2.95845	2.90321	2.73939	3.20846	2.70489	3.07733	2.40498
246362_at	3.61088	4.12199	4.36244	3.80491	5.73235	3.74443	3.92133	4.75693	5.07501	4.0149	4.40154	3.66326
246571_at	4.95992	4.18953	3.94544	4.81145	3.62409	4.3323	4.52115	4.63911	4.01744	3.57042	4.58707	3.75256
246606_at	3.76788	4.02624	4.28102	3.74905	4.24182	4.21422	3.84173	4.48678	5.28832	4.10496	4.4487	4.16913
246692_at	3.78686	3.71631	4.21812	4.13231	4.30399	4.68613	3.65522	4.47767	3.43867	3.67947	4.88431	3.21426
246694_at	3.52756	3.66459	3.9434	4.11345	4.27505	3.65465	4.13098	3.79413	4.20031	4.84177	4.20529	3.90518
246721_at	6.28524	6.89356	6.10528	7.29444	7.17836	5.99626	5.78204	6.30561	6.5174	6.45777	7.05345	6.25802
246750_at	6.92993	6.2093	7.56638	7.61557	14.637	7.41585	6.95537	6.74241	6.45319	7.86502	5.82585	13.035
246753_at	3.40667	3.42536	3.4284	3.85614	3.55787	3.49326	3.61388	3.92728	3.03054	2.96071	3.2087	3.1914
246804_at	4.25805	4.35755	3.74662	3.72205	5.40489	4.24555	3.81502	3.74869	4.6544	4.12649	5.82744	4.05249
246974_at	9.87665	6.20325	8.07477	8.24285	11.4181	7.83878	7.82932	7.85112	7.45317	9.5151	8.20947	9.65906
249030_at	4.49843	5.18668	5.93534	5.12846	4.95	5.52594	4.47867	6.01583	5.98344	5.23107	7.6814	4.70269
