time_points	0	4	8	12	16	20	24	28	32	36	40	44
244911_at	6.66908	5.92657	5.64713	4.72273	6.49163	4.10391	6.59402	9.20156	6.36301	5.6344	4.92859	5.69249
244918_at	3.37731	4.89687	3.98681	3.31364	3.20499	3.77824	4.54329	3.95716	3.16837	3.41308	3.93441	3.43589
244944_s_at	80.2186	91.6704	66.4556	42.9675	21.5629	40.5237	46.5066	30.1646	29.0054	34.5142	40.8992	29.8375
244946_at	4.72065	4.14536	4.25711	3.75332	3.6574	3.59153	4.51566	4.1261	3.79741	3.60498	3.72948	2.85304
245081_at	7.52808	10.3608	6.55792	7.10192	7.68111	5.56065	7.89135	9.35524	7.95468	5.22388	7.35116	9.03066
245214_at	4.49337	4.29932	6.73021	3.97989	4.59795	3.83547	3.60844	4.61887	3.8536	3.87932	4.37484	3.87039
245377_at	6.34427	5.87928	4.82785	5.95173	4.62767	4.59987	5.03353	4.70693	4.16617	3.93069	4.31287	3.67701
245485_at	6.48775	10.3743	5.38736	3.96386	5.85773	5.83407	5.38785	8.12387	5.40631	6.42273	7.95853	5.44481
245812_at	11.5315	4.56393	6.96877	7.68116	4.91175	12.6389	9.12212	9.15647	5.53112	5.9633	7.21406	12.8621
246032_s_at	40.1572	15.1895	11.34	7.29386	16.0547	10.6975	14.6979	20.0552	15.5252	13.5853	13.8649	15.0769
246080_at	8.43259	8.34811	7.1311	4.68122	7.28761	4.89892	6.44169	5.48598	7.32374	5.08088	3.72869	4.96205
246100_at	6.455	5.82089	6.76818	5.48319	6.18712	5.07122	5.71415	6.20451	6.15176	4.38459	4.71623	3.93764
246101_at	5.51014	4.90952	4.54039	4.41475	5.36918	4.43241	4.2633	3.88324	3.66147	4.89466	4.5916	4.32346
246127_s_at	5.97024	6.24197	4.80567	4.73354	5.1626	5.25823	5.02962	3.98909	4.18041	3.74538	3.92542	4.97587
246357_x_at	18.819	13.4526	9.83104	9.42452	12.0315	7.72668	29.3553	20.7163	17.2183	12.3771	7.57571	11.5026
246358_x_at	23.1643	19.544	16.7558	9.24033	8.90587	11.1417	12.4025	11.8295	12.208	11.3692	10.441	14.3704
246360_at	3.99258	3.35022	4.09258	2.83819	5.33572	3.28242	3.19989	3.81368	3.5032	3.72857	3.33941	3.27714
246362_at	7.81668	5.16045	6.60051	5.3571	6.11468	6.71339	5.00239	5.26797	5.67952	6.65842	4.93962	4.84866
246571_at	5.57555	4.69065	5.28715	4.72713	5.15693	3.78175	4.10089	4.89751	4.50786	4.05929	4.09399	5.18255
246606_at	5.80618	4.69164	6.48398	4.82167	5.15389	3.79422	6.21037	5.112	4.5158	4.51189	4.4172	4.78956
246692_at	6.386	5.58212	5.36904	3.85483	5.81799	4.68487	4.16791	6.35623	5.21342	4.15544	3.85686	5.20314
246694_at	5.62144	4.49032	5.53951	6.17118	6.22963	3.98414	5.72865	5.24438	3.73064	5.85011	4.22933	4.49308
246721_at	13.8628	12.5973	12.929	15.6028	21.6755	13.3834	8.8371	20.0442	14.1052	11.112	7.24244	11.3667
246750_at	8.53695	6.47027	7.29742	7.16818	6.21735	6.396	7.85874	8.03711	10.6383	8.89319	7.2334	7.92626
246753_at	3.48372	3.83109	4.04517	3.41306	4.04576	2.96135	4.46124	6.48213	3.33458	3.9796	3.91897	3.93477
246804_at	10.019	8.48755	6.29154	5.16506	5.62157	5.23647	5.35067	6.73266	5.55196	6.75709	5.45756	4.12796
246974_at	10.7823	8.77364	11.3567	15.4859	16.336	9.29033	9.43491	9.43799	12.3841	9.0985	11.203	9.78053
249030_at	9.04598	8.20726	7.91035	7.57275	5.49555	4.76599	5.87513	8.31768	6.46098	8.49478	6.7389	9.09546
249492_at	8.17851	6.99912	11.4251	4.78891	5.75311	4.72343	6.31321	8.78076	5.76418	5.33136	6.02809	5.46676
249605_at	6.86374	6.07622	6.77313	6.63606	6.77287	5.67762	6.25071	5.37597	6.40721	5.35948	6.30786	5.51114
249667_at	12.3317	5.63837	9.65954	6.28967	7.52707	6.69596	9.36763	7.48567	6.61908	8.57372	6.66235	5.75139
251435_at	5.11722	5.64431	4.81088	4.72177	5.48298	4.66278	4.27874	6.77092	3.92181	4.57255	4.32911	6.25425
251618_at	5.93817	4.96641	4.7699	4.71141	5.28045	3.89749	4.97769	4.90739	4.09705	4.47584	4.02753	5.19001
252722_at	6.20241	5.92335	6.04551	4.23511	4.17178	4.63552	5.36503	6.91593	4.99332	5.41053	5.24171	5.81934
252813_at	5.91619	5.17114	5.86054	7.74885	8.97292	4.76456	8.16598	5.70814	6.89825	7.21141	6.57814	8.77183
252919_at	4.56738	3.4928	4.37995	3.4398	4.53602	4.03802	3.85364	4.34844	4.49769	4.74298	4.42122	4.88424
253345_at	10.4133	8.49108	8.22722	5.39251	5.85438	5.66724	6.77429	12.0636	7.60608	6.48832	5.60968	9.67089
253744_s_at	11.6603	5.77399	7.21139	6.75387	6.885	6.07896	7.5044	8.44801	6.20089	5.23867	5.58838	7.23434
253960_at	5.13055	4.41297	5.01244	5.92984	4.58304	6.067	6.97538	4.17848	4.33939	5.30508	4.04002	4.49363
254219_at	4.45919	3.73641	4.6491	4.58808	4.14366	4.11312	5.15844	4.30315	4.87382	4.77193	4.63963	3.74081
254436_at	10.9093	5.97716	8.19952	4.57735	6.87547	5.22904	4.69876	6.43504	8.05732	4.92269	3.86863	4.72987
254437_s_at	2.66283	2.78845	2.32356	3.55972	2.82992	3.26085	2.86921	3.13835	2.80758	2.76758	2.92579	3.65879
254473_s_at	10.3587	6.81346	7.11429	9.68557	8.68638	7.06458	8.90549	9.92399	11.5119	8.23778	8.69369	5.96035
254738_at	16.258	15.4369	16.354	17.445	22.8471	15.5335	11.7928	16.4164	9.61864	15.1419	20.9291	13.5196
255097_at	6.91288	8.15235	5.83243	6.7514	6.18504	5.48867	7.32069	8.56303	6.25099	7.1598	6.79321	6.21556
255145_at	3.48866	2.9508	5.10927	3.32575	3.6949	3.90605	3.06342	4.18936	3.24211	3.62525	3.55884	3.64546
