time_points	1	2	3	4	5	6	7	8	9	10	11	12	13	14
JPH1	1.758685	1.105454	1.031486125	0.897079375	0.598261875	1.038597625	0.863987375	1.558135	0.91893425	1.126051375	0.457227375	1.20318275	1.34994625	1.63982
MAGEF1	1.19664475	1.154083625	0.725517	0.5305745	0.693864125	0.893906875	1.35321125	1.0815565	0.927968125	0.9971315	0.90473975	0.934370125	1.38033	1.16512775
C9orf37	1.5024645	1.38569125	1.178248	0.810527125	0.816205375	1.131762	1.68988025	1.89874375	1.49574375	1.2025345	1.405007	1.30370875	1.76741125	1.714364
MSH6	6.59995	4.0064425	3.32022875	3.38309	6.81329375	6.22575	8.93773625	8.7597	5.84364	4.3400075	4.1722275	7.33053125	7.03741625	9.0537025
WDR76	1.45240675	1.031667625	0.581499	0.613034125	0.724433875	0.819696375	2.26760875	2.27467375	1.57357025	1.25550175	0.649500375	1.394870875	1.5541925	2.89202875
JRK	1.640820125	1.296517625	1.08466125	0.80249825	0.988871	1.50646775	1.6022385	1.625429125	1.217915875	0.87661175	1.535274375	1.507198125	1.721968625	1.538825625
CDT1	5.81853375	3.871745	4.1050375	2.64680625	4.18170875	3.9813075	3.73458625	5.3454575	3.52263625	2.8837975	2.44862625	2.385773125	5.1392875	5.05634625
ALPI	1.62567625	1.014045	0.907587125	0.84793175	0.914223125	1.0616815	1.162507375	0.883371125	0.968294875	0.810541125	0.664459875	1.2713645	1.27755125	1.54675375
ORC1	2.24637	1.55247	1.279680375	1.107749625	1.773154	2.179805	2.3401725	2.80098	1.744845875	1.26154825	1.46507	1.5475135	2.05024875	2.39803
PQLC2	0.590766375	0.805740125	0.5112895	0.239863	0.345495125	0.57693875	0.763964625	0.844399	0.3639925	0.3639925	0.370455125	0.370455125	0.625831875	0.448353375
HPDL	2.408325	2.13511125	1.99513625	1.7612475	1.68839525	2.294105	2.74592375	2.00647	1.32825075	1.63948	1.5991875	2.12540125	3.192725	2.18976375
EFNB2	0.268981125	0.261255563	0.189277163	0.173419125	0.219973125	0.248294	0.300702125	0.30897425	0.21807275	0.117105963	0.14002165	0.15692315	0.168961725	0.269153875
TMEM37	1.31925525	1.01111775	0.70956325	0.652087563	0.594611875	0.64347075	1.029127375	1.165531125	0.933067375	0.914874625	0.853561	0.928492063	1.003423125	1.244565
TSPYL4	0.379072125	0.218543738	0.21895335	0.20368	0.269338625	0.4086735	0.585951625	0.50450425	0.333865	0.260928375	0.27098075	0.400551875	0.465175625	0.33727875
MANEAL	1.74812375	1.4032335	1.05834325	0.9370515	0.80367425	0.9175055	1.049314125	1.3049255	0.911995375	0.787879813	0.66376425	0.610590375	1.222552625	1.42376275
C16orf59	1.56176125	1.130211875	0.978695875	0.99136725	0.807206875	0.83705925	1.249462125	1.661865	1.250443125	1.205862125	1.037442875	1.22316225	1.66080075	1.479765
RAD51	2.11009125	1.526911125	1.095142875	1.1636525	1.34924125	1.762207125	2.0995415	2.27061875	1.691916625	1.691916625	1.535994375	1.535994375	1.600151375	1.94664625
ACD	0.81780325	0.706850125	0.705091125	0.5782115	0.75500625	0.9381095	0.859091375	1.355627625	0.6357895	0.615740875	0.619835	0.411924375	0.981833625	1.010407125
MCM3	12.74773	9.13621375	8.33006125	8.967095	11.2989425	12.8851125	17.0718625	19.7490125	15.5319	10.23311125	11.686025	12.977275	14.7580375	17.8915
MCM4	25.731325	20.712	17.5622875	14.4303425	20.4314	21.9346125	26.9262625	35.7156125	33.114725	21.4585875	20.0586125	22.0740125	25.6711875	35.2019875
PHF2	0.573403375	0.5580515	0.464285125	0.342679625	0.342055	0.40670375	0.519135875	0.78976425	0.5108875	0.404071	0.454568	0.335820375	0.62086925	0.776155
XRCC2	0.969722125	0.678390375	0.51715125	0.528184125	0.62070825	0.752270625	0.942012	0.883979375	0.63869125	0.592585	0.523465125	0.617360375	0.807907125	0.90646925
CASP8AP2	0.926634375	0.593486625	0.431292	0.605241625	0.685081	0.6615195	0.894482625	0.97879175	0.73019075	0.464057125	0.709665125	0.832681	0.790407	0.87664225
MCM10	2.88256875	2.070305	1.86293125	2.19016375	1.8566	2.169425	3.36887875	3.04881125	2.5626325	1.611497	2.12244	2.249445625	2.37645125	3.29908
LRRC45	1.6822425	1.23005475	1.23222775	0.742523875	0.944623875	1.0341215	1.125874375	1.367851125	1.353768125	1.29424775	0.965438875	1.00152875	1.274249375	1.6627675
SLC35E2	1.854943875	1.245636625	1.4946435	1.022664625	0.83537175	1.175575875	1.095372875	1.81761375	1.389734	1.174853125	0.91162175	1.311439875	1.485997125	1.394940625
RP11-304L19.5	7.769805	7.550385	7.4541525	5.99892125	5.26026375	7.71369	9.51380375	7.23730375	6.68613625	7.7941	6.3441125	7.70660125	11.50036625	11.402095
KDM2B	2.13362875	1.752050875	1.8064725	1.44976125	1.53217375	2.2707825	2.294983125	2.31918375	1.0094045	1.527450375	1.445291125	1.690783625	1.77521425	2.144731375
CREBZF	3.95132625	3.41525	3.045085	2.24273875	2.485015	2.84382375	3.40308	3.47618375	2.81261	2.78861125	3.08526625	3.09754875	3.7011725	3.81817125
CSPG4	0.171271125	0.0914585	0.091514475	0.065121875	0.089455413	0.079718975	0.1000713	0.12765395	0.107750513	0.116680738	0.083163538	0.108662938	0.1429972	0.1090106
ASF1B	7.83809875	5.96824375	5.86821125	5.10206	4.47934625	7.09417375	7.455155	9.88999375	7.13676625	6.42004125	5.8288825	4.5509975	7.15117375	9.44865875
MCM2	7.2026625	5.06943	5.34425625	5.34894125	6.61443125	8.16705375	10.66239	10.6132475	6.96527	6.73243875	6.7334625	6.6938525	9.50752125	8.97222375
CDCA7L	5.58005125	4.24347875	3.73080375	2.81386375	4.1181675	4.11524625	3.750315	5.593145	5.04948625	3.2146175	3.754255	4.659185	3.9722225	5.38991375
WNT9A	0.632072375	0.626458875	0.588043625	0.418422875	0.406047	0.60587925	0.721856875	0.8851235	0.55182025	0.5114115	0.48614	0.537537125	0.688130625	0.612743375
TONSL	1.326805375	1.028640625	0.89375875	0.839560375	1.0741975	1.146097875	1.1868055	1.34346875	1.01348175	0.77502925	0.97835625	0.859516125	1.290455	1.3350525
ZNF367	0.35058075	0.2630595	0.195478375	0.260811625	0.322328375	0.413549375	0.6149465	0.440858125	0.243529875	0.191089538	0.23182325	0.280356163	0.404636375	0.531410625
THEM6	1.27438825	0.989050625	0.719855375	0.662411375	0.92071925	1.034037375	1.1473555	1.207530125	1.02072375	0.89998275	0.77924175	0.759381875	1.54437675	0.920586625
RP11-395B7.7	0.597859875	0.34136025	0.313424625	0.285936875	0.369038375	0.450053875	0.565371	0.463447	0.42763175	0.3518395	0.3596155	0.53602475	0.462983125	0.43264225
SDC1	2.69332	1.8255025	1.87694625	2.305405	2.33599375	2.3478175	2.41894875	3.34936375	1.9815175	2.316437125	1.321367875	1.189475375	2.11728125	3.2187
ADCY6	1.89224875	1.565993875	1.336837625	1.165168813	0.9935	1.157531125	1.515786375	2.09925425	1.73790925	1.175778125	1.43189825	1.439663	1.248137625	2.18529625
LIG1	11.45719875	9.12147125	7.94811	6.7547375	5.78249625	7.99846625	9.13540875	11.433775	9.5882375	9.01761625	9.5622375	9.29873875	9.8497225	9.48840625
C19orf47	1.2224205	1.331196875	1.538378875	0.914156875	1.51711825	1.620822375	1.917447438	2.2140725	1.84685	1.454842875	1.06283575	1.486882125	1.341716	2.11615125
ZNF512B	1.28933575	0.971994625	0.882286375	0.700981625	0.868497125	0.9247305	0.898259875	1.19724625	0.725857625	0.7719225	0.741144875	0.616522875	1.029057125	0.928252875
MYLIP	0.529939125	0.353359625	0.448621625	0.308260125	0.4816005	0.50170425	0.605810375	0.545677125	0.544538625	0.36885125	0.548679625	0.567762125	0.601768125	0.741602875
NR2F1	2.374339	1.75354075	1.402636375	1.5953125	1.111453375	1.58496475	1.316240875	2.40689125	1.74381125	1.8669995	1.878108375	1.88733825	2.2882125	2.2256975
PAXIP1	1.041374125	0.8568335	0.672292875	0.656559875	0.87873925	0.54803475	1.007184625	0.83192	0.773416	0.580905125	0.709414375	0.771011188	0.832608	1.026874625
BDH1	1.985277625	1.9808225	1.37596425	1.213193625	1.555549875	2.047723125	1.589410875	2.754675	1.9508935	1.67152325	1.622778625	1.3137815	2.092022625	2.3781775
FGFRL1	3.3433025	3.41204125	2.95791	2.79993	2.18071125	3.22098	2.93666	3.7694825	2.960385	2.9711725	3.01918125	2.70574375	4.00885875	3.89057375
FN3KRP	3.40229	3.12389875	3.11906625	1.708822875	2.1520415	3.05135	2.321825	3.88175125	2.47781375	2.19355125	2.627455	2.13778075	2.8004875	3.31464625
AMACR	1.265678375	0.898778625	0.82562725	0.553523375	0.605857125	0.6938785	0.913441625	1.04467675	0.83403	0.736510125	0.922987375	0.96950425	1.011654375	0.871105
PSMC3IP	4.87356125	5.330175	4.29203125	3.655255	4.19013125	3.8016025	6.1992175	6.42512625	4.85104	2.94430125	3.33360125	3.08070875	3.98396375	4.94896125
RAD54L	3.7375275	2.10888875	2.0792725	1.303080875	2.10124625	1.930859	2.9958625	4.22004625	3.07985625	2.66076125	2.910955	2.58726	2.0297375	2.959975
CENPQ	0.8995045	0.915699125	0.621169	0.75909975	0.753767375	0.61002625	0.9236085	1.140494625	0.80646275	0.57579025	0.500176875	0.690554875	0.71348175	0.909342
NR2C2AP	1.691091375	1.667601625	1.428135125	1.093103375	1.255703	1.713891	1.852595	1.843127	1.60359925	1.19705375	1.19616625	1.19527875	1.339307625	1.4833365
CCDC28B	1.862231375	1.386925	1.5167475	1.305510875	1.18788325	1.458275125	1.36846825	1.35574825	1.46158	1.163790125	0.818817375	0.93986025	1.661166375	1.600779375
GPRIN1	0.64177025	0.59402425	0.3617445	0.3398155	0.3426205	0.407047125	0.498387375	0.563592	0.341900375	0.301354125	0.285214375	0.304014125	0.40617675	0.556554875
