time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0100100	92.4497	77.6708	30.5861	11.3214	4.89983	2.73299	2.15156	2.07302	5.76786	13.2898	15.5428	16.5024	12.6472	8.7987	35.2713	27.8289	8.21839	4.11144	2.61425	2.65379	4.24243
PF3D7_0100200	3.51581	1.99203	7.30597	33.4118	48.0119	4.83257	1.99115	1.72459	3.68985	9.03529	12.6058	15.2374	6.71251	3.84852	3.63217	17.978	19.3542	18.0118	3.33324	1.24261	1.31152
PF3D7_0100300	188.303	176.169	118.526	62.7714	26.9965	4.84851	1.37187	0.653861	0.37405	0.365282	0.512269	1.05369	3.41493	8.93984	90.2497	89.8588	33.8071	8.16134	1.91069	0.680687	0.457556
PF3D7_0100400	0.532567	1.66079	3.49179	12.3656	10.6041	1.68656	0.369368	0.617802	3.43784	3.40789	2.36308	3.59455	1.62549	1.28696	1.47639	10.9386	10.9091	5.72624	0.540493	0.583346	1.70437
PF3D7_0100500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100600	0.635743	0.467011	0.503126	2.43402	3.3545	0.810373	0.428664	0.151917	0.0355351	0.0583528	0.0632972	0.306394	1.21305	0.790755	1.98995	2.31232	2.84832	1.71405	0.263526	0.192466	0.0370788
PF3D7_0100700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0100800	0.251312	0.0703225	0.33153	0.0987135	0.242155	0	0.0451854	0.040063	0	0.123022	0	0.322849	0	0	0.629358	0.430151	0.382078	0.352342	0.0396979	0.0338261	0
PF3D7_0100900	0.327979	0.481838	1.03834	4.78216	12.3735	4.07172	1.63645	0.274419	0.256558	0.0602074	0.195949	0.553103	0.500739	1.06069	1.79666	1.82447	3.90033	4.52759	2.52532	1.09244	0.267754
PF3D7_0101000	0.398704	0.468614	0.126215	0.657576	0.783861	0.247483	0.129041	0.076223	0	0.0585532	0.0635154	0.461158	0.486896	0.872821	0.898559	0.204729	0.675545	0.503377	0.377767	0.096566	0.074411
PF3D7_0101100	0.287655	0.160946	0.303707	0.0565404	0.166214	0	0	0	0	0	0	0.092275	0.58615	0	0.120088	0.164119	0.249786	0.050325	0	0	0
PF3D7_0101200	0.142342	0	0.112895	0	0	0	0	0	0	0	0	0	0	0	0.0892084	0	0	0	0	0.057743	0
PF3D7_0101300	1.38109	3.01119	46.8754	242.807	361.55	173.483	44.746	10.4597	3.24453	1.62205	2.20499	1.58839	7.62148	4.67427	10.1263	96.4464	267.059	277.053	91.9387	31.4761	6.09504
PF3D7_0101400	1.7849	1.87194	0.441922	0.526806	0.386491	0.0494715	0.0601556	0.0535867	0	0	0	0	0.34136	0.222059	0.419263	0.381885	0.217826	0.11684	0	0	0
PF3D7_0101500	0	0.202076	0.2282	0.169672	0.0835767	0.0426527	0.0259603	0	0	0	0	0.0465161	0.146549	0.14359	0.210711	0.329389	0.125565	0.0762703	0.0454755	0	0
PF3D7_0101600	0.537857	0.451572	0.790437	1.26701	3.91036	0.374731	0.0828965	0.0367066	0.137489	0.112843	0.305977	0.444488	1.17266	4.20508	1.63538	1.84121	1.75273	1.57704	0.291143	0.155046	0.0717165
PF3D7_0101700	0	0.100978	0.0475444	0.035364	0	0	0.0324346	0	0	0	0	0	0.733112	1.37569	0.188108	0.102897	0.11762	0	0	0	0
PF3D7_0101800	0.418088	0.175415	0.248373	0.678362	0.422607	0.417148	0.281833	0	0	0.0767385	0	0.201005	1.59837	5.3052	1.57111	0.536707	0.476342	0.657492	0.148829	0.0422747	0.0486772
PF3D7_0101900	1.84963	1.41154	1.1313	0.495366	0.291635	0.186386	0.090698	0.0804202	0.0751377	0	0.267912	0.729019	4.87839	16.9833	3.68458	1.22318	0.438238	0.176801	0.199213	0.067899	0.0392145
PF3D7_0102000	2.24147	1.56679	0.592227	1.02999	0.287451	0.27614	0.134281	0.0599402	0	0	0.0993554	1.07554	15.2561	36.0689	3.90096	1.06571	0.648074	0.390555	0.177582	0.10089	0.115813
PF3D7_0102100	0.538788	0.723334	0.512181	0.508737	0.871252	0.668999	0.406767	0.0517308	0.0479807	0.158225	0	0.103581	0.659291	0.214492	0.674931	0.0922202	0.491025	0.846918	0.409264	0.174378	0.451547
PF3D7_0102200	4252.03	1232.03	279.889	135.434	68.6915	15.9629	7.51755	5.06425	4.94531	19.5744	513.623	1204.31	14625.1	0	2209.12	692.562	233.227	92.4151	23.6136	17.5428	14.2923
PF3D7_0102300	6.76132	1.49985	0	6.5205	13.8854	135.066	311.77	404.312	259.472	163.813	74.2567	30.3245	40.722	66.2692	6.50347	4.23718	25.4463	100.451	256.161	332.744	272.238
PF3D7_0102400	1.90925	1.60307	1.51066	2.03208	2.71832	6.90199	10.4976	11.6405	12.8508	12.7798	11.9293	17.7058	23.3051	18.2668	2.89584	1.57111	4.3558	6.37963	9.84038	10.2215	10.1122
PF3D7_0102500	15.7494	9.09011	2.91973	1.62418	0.950988	0.884471	0.801677	1.31026	1.50885	25.6726	270.719	1295.86	2101.83	842.031	43.8912	11.7175	7.2873	4.23827	1.66297	2.39843	3.40913
PF3D7_0102600	16.446	62.6446	272.013	266.35	85.042	38.4949	11.6106	5.1497	3.54076	2.14938	2.78658	3.19028	10.6667	20.256	66.7334	234.223	265.377	87.7766	15.1476	7.09957	3.6453
PF3D7_0102700	175.638	69.1176	25.0686	11.2717	6.92373	6.49897	7.96247	5.86584	3.40931	3.91238	20.5404	45.448	266.335	534.146	81.3643	32.2099	17.054	10.9313	7.11734	4.80719	4.54778
PF3D7_0102800	0.816495	0.902577	0.57742	0.505003	1.31915	3.31442	6.00604	6.82035	4.90789	4.4818	2.73455	1.7875	0.654259	1.02602	1.20981	0.809091	1.0657	2.65886	5.35968	5.98464	5.6096
PF3D7_0102900	143.427	149.448	167.461	174.044	178.585	149.341	131.811	107.621	76.5836	50.9785	35.4286	26.6681	28.438	26.0587	110.686	147.437	163.1	147.115	127.855	110.366	81.0794
PF3D7_0103000	0.241702	0.202755	0.574678	0.356911	0.627782	1.17913	2.67163	7.26718	12.4596	26.793	17.2574	12.298	10.7314	3.24777	0.681408	0.413704	0.62904	2.02254	3.79046	6.85194	8.2071
PF3D7_0103100	0.977425	0.908747	1.47342	2.88352	4.07083	7.69205	8.73723	12.6182	16.3106	15.339	13.3911	12.0526	7.42554	5.42064	1.66686	1.95179	4.36357	5.87386	8.09162	10.2596	12.7347
PF3D7_0103200	141.57	160.573	209.296	322.769	359.738	300.91	270.376	250.654	135.735	88.6411	40.9702	33.2683	33.1631	34.4118	126.153	213.417	294.267	303.197	255.101	227.066	179.119
PF3D7_0103300	68.0366	53.6476	43.4279	35.341	27.3427	21.8516	19.059	19.5053	18.1285	18.2071	16.475	23.1696	23.6379	19.1232	38.2548	36.4758	27.5116	20.2343	18.9924	17.6711	15.5966
PF3D7_0103400	5.90247	7.63696	18.0883	34.6778	55.8846	51.0981	49.2421	40.8618	34.1225	23.8525	46.4605	102.666	160.113	81.032	11.8854	19.9241	33.2706	42.6849	43.2465	40.5024	33.1044
PF3D7_0103500	1.14975	0.611001	0.646948	0.759468	2.4143	7.30919	12.6335	12.4449	6.60184	4.80543	3.74854	7.2953	7.26806	5.10006	1.59484	1.16492	2.57308	6.05702	10.7021	11.5953	8.45903
PF3D7_0103600	3.71746	4.87996	7.76964	13.6571	17.0072	19.7208	18.9643	19.0268	12.1917	8.18061	6.3729	5.87641	6.34582	5.11361	4.82717	8.36642	15.977	17.1068	17.8843	17.8533	14.7736
PF3D7_0103700	14.5282	13.4119	11.564	9.76441	9.07242	8.44021	7.9462	10.0241	7.12723	5.17107	3.19546	2.58842	5.1358	4.39034	8.96602	10.9905	9.57579	7.04686	8.29659	8.60617	7.35047
PF3D7_0103800	0.44482	0.373479	0.351964	0.305565	0.343036	0.328687	0.119978	1.98249	9.887	17.2574	10.9812	12.0115	7.6924	6.04898	1.20658	0.824807	0.241617	0.273217	0.737243	2.33323	6.22894
PF3D7_0103900	4.79643	7.52153	10.6882	13.6644	17.8566	33.6936	42.5694	51.2055	40.59	27.6448	13.6633	11.7951	6.81692	6.49856	7.60217	9.92972	20.9848	31.4399	44.4651	46.0487	43.1424
